Partner_ID,Recommended_Products,Similarity_Scores
021_86,"['AIS(Air Insulated Switchgear)', 'PSS(Compact Sub-Stations)', 'Starter']","[3.552543521320949, 2.694427190999916, 2.652543521320949]"
022_43,"['PSS(Compact Sub-Stations)', 'AIS(Air Insulated Switchgear)', 'SDF(Switch Disconnectors)']","[4.1329931618554525, 3.3164965809277267, 3.3164965809277267]"
023_68,"['VCB(Vacuum Circuit Breaker)', 'SDF(Switch Disconnectors)', 'ACB(Air Circuit Breaker)']","[2.5962028179739107, 1.7638342073763935, 1.7390599608310537]"
024_72,"['ACB(Air Circuit Breaker)', 'RMU(Ring Main Unit)', 'BBT(Busbar Trunking)']","[3.3300916929568785, 3.1810204944568925, 2.484937438228362]"
025_61,"['E-House', 'MCCB(Moduled Case Circuit Breaker)', 'RMU(Ring Main Unit)']","[3.1359254075420244, 3.1359254075420244, 3.081281400041954]"
026_21,"['BBT(Busbar Trunking)', 'PSS(Compact Sub-Stations)', 'SDF(Switch Disconnectors)']","[3.4687761819630154, 3.45393389435355, 1.7162326606420661]"
027_11,"['Controller', 'Solar Solutions', 'VCU(Vacuum Contactor Units)']","[3.2262930848127063, 2.4262930848127064, 2.426293084812706]"
028_52,"['MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)', 'E-House']","[2.688854381999832, 0.9000000000000001, 0.894427190999916]"
029_88,"['Controller', 'Modular Switches', 'AIS(Air Insulated Switchgear)']","[3.9264356547704704, 3.181079662270541, 3.1264356547704706]"
030_93,"['VCU(Vacuum Contactor Units)', 'BBT(Busbar Trunking)', 'MCCB(Moduled Case Circuit Breaker)']","[3.4903085094570327, 3.4903085094570327, 3.445154254728516]"
031_12,"['VCB(Vacuum Circuit Breaker)', 'Controller', 'RMU(Ring Main Unit)']","[4.202489311976185, 4.202489311976185, 3.3775314005918795]"
032_29,"['VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)', 'ACB(Air Circuit Breaker)']","[4.147910465243073, 3.3229525538587676, 2.4979946424744623]"
033_15,"['Controller', 'RMU(Ring Main Unit)', 'VCB(Vacuum Circuit Breaker)']","[3.349873734152916, 2.5249158227686106, 2.5249158227686106]"
034_4,"['Solar Solutions', 'PSS(Compact Sub-Stations)', 'Controller']","[3.478255070077488, 2.672024362281162, 1.8386910289478284]"
035_62,"['VCU(Vacuum Contactor Units)', 'SDF(Switch Disconnectors)', 'E-House']","[4.184318268716499, 4.184318268716499, 3.3937488536744045]"
036_72,"['AIS(Air Insulated Switchgear)', 'Pump Starter and Controller', 'E-House']","[2.671741273145233, 1.7672072394119422, 1.7285046100995225]"
037_49,"['E-House', 'PSS(Compact Sub-Stations)', 'Controller']","[3.3775037131024024, 3.332246635948281, 3.332246635948281]"
038_40,"['Pump Starter and Controller', 'Solar Solutions', 'E-House']","[3.396589046013627, 3.3687440919754907, 2.5305636422291884]"
039_29,"['BBT(Busbar Trunking)', 'MCCB(Moduled Case Circuit Breaker)', 'Controller']","[2.530462910211008, 2.4955866094142056, 2.4751037788054244]"
040_24,"['Pump Starter and Controller', 'Solar Solutions', 'VCU(Vacuum Contactor Units)']","[3.182186500338419, 3.1402865886521765, 2.4075898310969355]"
041_49,"['Controller', 'BBT(Busbar Trunking)', 'Starter']","[4.400284617650785, 3.557010574939217, 3.5342592138663464]"
042_64,"['MCCB(Moduled Case Circuit Breaker)', 'E-House', 'SDF(Switch Disconnectors)']","[2.4357236697706113, 2.4357236697706113, 2.4357236697706113]"
043_62,"['Controller', 'PSS(Compact Sub-Stations)', 'VCU(Vacuum Contactor Units)']","[3.162214029055279, 3.0237157840738176, 3.0237157840738176]"
044_6,"['E-House', 'Starter', 'Controller']","[3.126494822584119, 2.38113883008419, 2.3359254075420246]"
045_11,"['Pump Starter and Controller', 'RMU(Ring Main Unit)', 'BBT(Busbar Trunking)']","[2.6207666943753574, 1.762650364054324, 1.762650364054324]"
046_7,"['AIS(Air Insulated Switchgear)', 'PSS(Compact Sub-Stations)', 'Pump Starter and Controller']","[3.189815411508889, 3.189815411508889, 3.189815411508889]"
047_79,"['MCCB(Moduled Case Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCB(Vacuum Circuit Breaker)']","[3.4912042406747625, 3.4743674882691553, 2.6251788368903237]"
048_50,"['VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller', 'BBT(Busbar Trunking)']","[3.697563455577665, 3.030896788910998, 2.9229667863361817]"
049_87,"['MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)', 'AIS(Air Insulated Switchgear)']","[3.6374758118482817, 1.8625534983365015, 1.8136249428242]"
050_97,"['E-House', 'VCB(Vacuum Circuit Breaker)', 'RMU(Ring Main Unit)']","[4.185797506080558, 3.3608395946962526, 3.3608395946962526]"
051_69,"['BBT(Busbar Trunking)', 'Starter', 'Controller']","[2.718377303608894, 2.718377303608894, 1.7925572038363422]"
052_91,"['Solar Solutions', 'VCB(Vacuum Circuit Breaker)', 'Starter']","[4.1943893470656795, 3.349235092337163, 2.54745136659989]"
053_92,"['VCU(Vacuum Contactor Units)', 'Solar Solutions', 'RMU(Ring Main Unit)']","[2.6854143466934848, 2.6854143466934848, 1.7499999999999996]"
054_5,"['PSS(Compact Sub-Stations)', 'Solar Solutions', 'E-House']","[2.6375955191904317, 1.7162326606420664, 0.9090909090909091]"
055_92,"['Pump Starter and Controller', 'MCCB(Moduled Case Circuit Breaker)', 'Controller']","[3.4098115843756247, 2.654242615900366, 1.801439750477924]"
056_64,"['Pump Starter and Controller', 'Controller', 'SDF(Switch Disconnectors)']","[4.083111954018566, 3.281328228281293, 2.456370316896988]"
057_99,"['E-House', 'RMU(Ring Main Unit)', 'PSS(Compact Sub-Stations)']","[3.2420112037458946, 2.4402274780086217, 2.4402274780086217]"
058_49,"['VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller', 'E-House']","[4.241254250276823, 4.241254250276823, 3.396099995548306]"
059_1,"['VCB(Vacuum Circuit Breaker)', 'Modular Switches', 'SDF(Switch Disconnectors)']","[4.432644403115843, 3.5798415376934005, 3.5576444031158427]"
060_20,"['RMU(Ring Main Unit)', 'VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)']","[3.390941226553049, 3.390941226553049, 3.349873734152916]"
061_79,"['VCU(Vacuum Contactor Units)', 'RMU(Ring Main Unit)', 'Controller']","[2.544664415744169, 1.7581163303210332, 1.701390373032601]"
062_94,"['Starter', 'VCU(Vacuum Contactor Units)', 'BBT(Busbar Trunking)']","[4.148594598945889, 3.2357236697706115, 2.5580251839037933]"
063_40,"['ACB(Air Circuit Breaker)', 'RMU(Ring Main Unit)', 'Controller']","[3.8402123650015434, 2.3283544729646346, 2.3283544729646346]"
064_67,"['VCB(Vacuum Circuit Breaker)', 'VCU(Vacuum Contactor Units)', 'E-House']","[3.7796447300922718, 3.7796447300922718, 3.0237157840738176]"
065_7,"['RMU(Ring Main Unit)', 'ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)']","[4.200064880552681, 1.706875015072502, 1.668231954095873]"
066_49,"['SDF(Switch Disconnectors)', 'Controller', 'MCCB(Moduled Case Circuit Breaker)']","[3.5027223691181866, 2.5981883353848954, 1.7705594375177296]"
067_5,"['RMU(Ring Main Unit)', 'AIS(Air Insulated Switchgear)', 'ACB(Air Circuit Breaker)']","[3.450382292799529, 1.7638342073763935, 1.7479425074726354]"
068_46,"['Modular Switches', 'PSS(Compact Sub-Stations)', 'Solar Solutions']","[2.4045099116659117, 2.362609999979669, 2.3595300805486454]"
069_11,"['BBT(Busbar Trunking)', 'RMU(Ring Main Unit)', 'PSS(Compact Sub-Stations)']","[2.8959170128011262, 2.855476898281246, 2.1888102316145788]"
070_37,"['SDF(Switch Disconnectors)', 'VCB(Vacuum Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[2.5912165501842033, 2.5912165501842033, 2.5525734892075747]"
071_78,"['Controller', 'ACB(Air Circuit Breaker)', 'Modular Switches']","[3.3841113931339657, 2.5184743077966676, 1.7022971118713737]"
072_80,"['VCU(Vacuum Contactor Units)', 'ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)']","[3.4287262472207756, 3.428726247220775, 2.5627008434363363]"
073_86,"['Modular Switches', 'Starter', 'Pump Starter and Controller']","[4.467297367072458, 3.578408478183569, 3.578408478183569]"
074_49,"['Starter', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[3.509940709378234, 3.509940709378234, 2.720586819359841]"
075_63,"['AIS(Air Insulated Switchgear)', 'Solar Solutions', 'RMU(Ring Main Unit)']","[4.232784681844964, 3.297370335151479, 2.5943409295736153]"
076_12,"['PSS(Compact Sub-Stations)', 'RMU(Ring Main Unit)', 'Solar Solutions']","[3.603879433610489, 3.603879433610489, 2.69478852451958]"
077_8,"['PSS(Compact Sub-Stations)', 'E-House', 'RMU(Ring Main Unit)']","[2.5527607768067466, 2.5027186881910524, 2.5027186881910524]"
078_89,"['VCU(Vacuum Contactor Units)', 'Controller', 'BBT(Busbar Trunking)']","[4.228386075742893, 2.5953929138874416, 2.545864091030729]"
079_39,"['VCB(Vacuum Circuit Breaker)', 'AIS(Air Insulated Switchgear)', 'ACB(Air Circuit Breaker)']","[2.3905694150420946, 2.38113883008419, 1.5999999999999999]"
080_72,"['Controller', 'BBT(Busbar Trunking)', 'PSS(Compact Sub-Stations)']","[3.4617893077458297, 2.5159412265530494, 1.7549142926733277]"
081_88,"['ACB(Air Circuit Breaker)', 'Pump Starter and Controller', 'VCB(Vacuum Circuit Breaker)']","[3.3612236947515033, 3.3612236947515033, 2.516069440022987]"
082_65,"['ACB(Air Circuit Breaker)', 'AIS(Air Insulated Switchgear)', 'Controller']","[3.5707866047712757, 2.6632172121159265, 2.6353722580777905]"
083_69,"['PSS(Compact Sub-Stations)', 'Solar Solutions', 'BBT(Busbar Trunking)']","[2.592486766439219, 2.5924867664392184, 2.5326920704511062]"
084_24,"['ACB(Air Circuit Breaker)', 'Controller', 'E-House']","[4.080877924499128, 3.290308509457033, 2.490308509457033]"
085_28,"['Solar Solutions', 'AIS(Air Insulated Switchgear)', 'RMU(Ring Main Unit)']","[3.507682651206712, 3.479280863991235, 2.6548797857842708]"
086_56,"['Controller', 'Solar Solutions', 'VCU(Vacuum Contactor Units)']","[3.4416754178180495, 3.399775506131807, 3.290451987286982]"
087_41,"['ACB(Air Circuit Breaker)', 'Controller', 'Modular Switches']","[3.2496101074970016, 3.189815411508889, 2.5664421727984736]"
088_52,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'E-House']","[3.36740165885094, 2.520360855959545, 2.4402274780086217]"
089_56,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'MCCB(Moduled Case Circuit Breaker)']","[3.0237157840738176, 3.0237157840738176, 2.267786838055363]"
090_39,"['RMU(Ring Main Unit)', 'E-House', 'ACB(Air Circuit Breaker)']","[3.2262930848127063, 2.4262930848127064, 2.4262930848127064]"
091_86,"['Controller', 'SDF(Switch Disconnectors)', 'Modular Switches']","[3.092226838103886, 2.3207100882934264, 2.3176301688624026]"
092_98,"['Modular Switches', 'Starter', 'ACB(Air Circuit Breaker)']","[3.084283418983089, 3.0237157840738176, 2.3283544729646346]"
093_52,"['Modular Switches', 'VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller']","[2.530462910211008, 2.530462910211008, 1.7022971118713734]"
094_93,"['AIS(Air Insulated Switchgear)', 'BBT(Busbar Trunking)', 'PSS(Compact Sub-Stations)']","[2.731663423581895, 2.731663423581895, 2.7032616363664177]"
095_91,"['PSS(Compact Sub-Stations)', 'RMU(Ring Main Unit)', 'Solar Solutions']","[4.633598560305271, 3.7290645265719795, 2.8401756376830907]"
096_82,"['Modular Switches', 'ACB(Air Circuit Breaker)', 'Controller']","[2.792557203836342, 2.6384437522713484, 2.573858098964834]"
097_97,"['BBT(Busbar Trunking)', 'Starter', 'MCCB(Moduled Case Circuit Breaker)']","[2.621481405484958, 0.916666666666667, 0.8703882797784893]"
098_81,"['Pump Starter and Controller', 'Controller', 'ACB(Air Circuit Breaker)']","[3.869320810241826, 3.869320810241826, 2.974893619241911]"
099_36,"['E-House', 'Pump Starter and Controller', 'SDF(Switch Disconnectors)']","[3.377718688191052, 2.5527607768067466, 2.5305636422291884]"
100_86,"['E-House', 'VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller']","[3.307288739692589, 3.290451987286982, 3.290451987286982]"
101_24,"['RMU(Ring Main Unit)', 'ACB(Air Circuit Breaker)', 'AIS(Air Insulated Switchgear)']","[3.2262930848127063, 2.4357236697706113, 2.4357236697706113]"
102_36,"['Controller', 'VCB(Vacuum Circuit Breaker)', 'ACB(Air Circuit Breaker)']","[3.144851053892361, 3.084283418983089, 3.084283418983089]"
103_62,"['VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller', 'SDF(Switch Disconnectors)']","[3.326032179227645, 3.3260321792276444, 2.480877924499128]"
104_63,"['BBT(Busbar Trunking)', 'Modular Switches', 'E-House']","[2.6132554602067963, 2.59382826920688, 1.810414346693485]"
105_72,"['AIS(Air Insulated Switchgear)', 'VCU(Vacuum Contactor Units)', 'Controller']","[3.171649077312636, 3.126435654770471, 2.3810796622705412]"
106_76,"['AIS(Air Insulated Switchgear)', 'BBT(Busbar Trunking)', 'RMU(Ring Main Unit)']","[2.574957911384305, 2.5659833151687437, 1.7410254037844386]"
107_42,"['Modular Switches', 'AIS(Air Insulated Switchgear)', 'VCB(Vacuum Circuit Breaker)']","[3.444294407569219, 3.400923878577976, 2.6076343810351434]"
108_83,"['Modular Switches', 'ACB(Air Circuit Breaker)', 'MCCB(Moduled Case Circuit Breaker)']","[2.449489742783178, 1.6498299142610597, 1.6329931618554523]"
109_67,"['Modular Switches', 'VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)']","[3.3730961708462717, 2.5754369743120247, 1.6865480854231358]"
110_31,"['Pump Starter and Controller', 'Solar Solutions', 'Modular Switches']","[3.2577599168358766, 2.4244265835025427, 1.6498299142610597]"
111_6,"['Starter', 'BBT(Busbar Trunking)', 'Controller']","[2.483163247594393, 2.4412633359081504, 2.4412633359081504]"
112_8,"['AIS(Air Insulated Switchgear)', 'Controller', 'MCCB(Moduled Case Circuit Breaker)']","[3.412380013899205, 3.412380013899205, 2.530462910211008]"
113_52,"['RMU(Ring Main Unit)', 'BBT(Busbar Trunking)', 'Solar Solutions']","[3.3527294665570624, 3.3527294665570624, 3.297370335151478]"
114_87,"['BBT(Busbar Trunking)', 'AIS(Air Insulated Switchgear)', 'Controller']","[2.987345747344082, 2.280238966157534, 2.280238966157534]"
115_20,"['BBT(Busbar Trunking)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[2.62056981838881, 1.7677669529663687, 1.677760776806747]"
116_64,"['AIS(Air Insulated Switchgear)', 'VCB(Vacuum Circuit Breaker)', 'E-House']","[4.1815405503520555, 3.3650439694243293, 3.3650439694243293]"
117_23,"['Pump Starter and Controller', 'MCCB(Moduled Case Circuit Breaker)', 'Modular Switches']","[2.5527607768067466, 2.5027186881910524, 1.6999579113843053]"
118_60,"['Starter', 'Controller', 'Solar Solutions']","[3.602879500955848, 2.7458286933869704, 1.8708286933869704]"
119_65,"['VCU(Vacuum Contactor Units)', 'RMU(Ring Main Unit)', 'AIS(Air Insulated Switchgear)']","[3.4027807460652015, 1.7162326606420661, 1.7162326606420661]"
120_53,"['VCB(Vacuum Circuit Breaker)', 'E-House', 'Starter']","[3.354780039519009, 3.3364639081917464, 3.3364639081917464]"
121_66,"['PSS(Compact Sub-Stations)', 'Starter', 'VCU(Vacuum Contactor Units)']","[3.126494822584119, 2.38113883008419, 2.3264948225841193]"
122_65,"['VCB(Vacuum Circuit Breaker)', 'SDF(Switch Disconnectors)', 'ACB(Air Circuit Breaker)']","[3.5708669414778402, 3.5708669414778402, 2.6854143466934848]"
123_1,"['Pump Starter and Controller', 'E-House', 'SDF(Switch Disconnectors)']","[4.340392892053594, 2.657870907341429, 2.6083420844847165]"
124_48,"['PSS(Compact Sub-Stations)', 'Controller', 'ACB(Air Circuit Breaker)']","[3.446180955732097, 2.540843686568327, 1.7276038255098245]"
125_91,"['Starter', 'VCB(Vacuum Circuit Breaker)', 'E-House']","[4.519670557546824, 2.67098725949631, 2.6581163303210333]"
126_82,"['VCB(Vacuum Circuit Breaker)', 'ACB(Air Circuit Breaker)', 'E-House']","[3.2071349029490923, 2.405351177211819, 2.405351177211819]"
127_65,"['VCB(Vacuum Circuit Breaker)', 'Pump Starter and Controller', 'Solar Solutions']","[2.4607103086174034, 2.4607103086174034, 2.4487217062030626]"
128_70,"['Pump Starter and Controller', 'Starter', 'VCB(Vacuum Circuit Breaker)']","[4.363255460206796, 3.4972300564223575, 3.4972300564223575]"
129_1,"['PSS(Compact Sub-Stations)', 'Modular Switches', 'E-House']","[2.6162326606420665, 2.6162326606420665, 2.574348990963099]"
130_22,"['MCCB(Moduled Case Circuit Breaker)', 'AIS(Air Insulated Switchgear)', 'E-House']","[2.616232660642066, 2.5743489909630997, 1.7162326606420664]"
131_73,"['BBT(Busbar Trunking)', 'PSS(Compact Sub-Stations)', 'Modular Switches']","[1.7013903730326012, 1.6865480854231358, 1.6865480854231358]"
132_81,"['PSS(Compact Sub-Stations)', 'Starter', 'VCU(Vacuum Contactor Units)']","[3.365515110688062, 3.3570208824936207, 3.320258033533941]"
133_85,"['MCCB(Moduled Case Circuit Breaker)', 'Pump Starter and Controller', 'Starter']","[2.580605730844883, 2.580605730844883, 1.788217212115927]"
134_5,"['BBT(Busbar Trunking)', 'Solar Solutions', 'AIS(Air Insulated Switchgear)']","[3.5853890575937606, 1.7794791888693984, 1.7672072394119422]"
135_49,"['VCB(Vacuum Circuit Breaker)', 'Controller', 'Modular Switches']","[3.480105439073092, 2.5912165501842033, 2.5754369743120247]"
136_31,"['Pump Starter and Controller', 'VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)']","[3.1821865003384193, 3.1402865886521765, 2.4075898310969355]"
137_58,"['Modular Switches', 'Solar Solutions', 'VCU(Vacuum Contactor Units)']","[2.6680001879818276, 1.82472614527026, 1.7708059925770856]"
138_86,"['RMU(Ring Main Unit)', 'ACB(Air Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[3.541611985154171, 3.541611985154171, 1.7321629316004565]"
139_13,"['PSS(Compact Sub-Stations)', 'VCU(Vacuum Contactor Units)', 'ACB(Air Circuit Breaker)']","[3.1717082451262844, 3.1717082451262844, 2.38113883008419]"
140_24,"['Controller', 'RMU(Ring Main Unit)', 'E-House']","[2.624999999999999, 2.5659833151687437, 2.5659833151687437]"
141_44,"['MCCB(Moduled Case Circuit Breaker)', 'RMU(Ring Main Unit)', 'Pump Starter and Controller']","[4.246054788776769, 3.4027807460652015, 2.559506703353634]"
142_16,"['AIS(Air Insulated Switchgear)', 'RMU(Ring Main Unit)', 'PSS(Compact Sub-Stations)']","[3.502968924177542, 2.6210518204893454, 2.6140800352886533]"
143_94,"['BBT(Busbar Trunking)', 'AIS(Air Insulated Switchgear)', 'RMU(Ring Main Unit)']","[3.349188651378832, 3.332351898973225, 3.2996598285221195]"
144_80,"['ACB(Air Circuit Breaker)', 'Controller', 'RMU(Ring Main Unit)']","[2.6928090415820627, 1.837236232581979, 1.8178090415820631]"
145_35,"['SDF(Switch Disconnectors)', 'Solar Solutions', 'AIS(Air Insulated Switchgear)']","[3.5782616363664177, 1.837236232581979, 1.837236232581979]"
146_5,"['ACB(Air Circuit Breaker)', 'Pump Starter and Controller', 'MCCB(Moduled Case Circuit Breaker)']","[3.4958175640325173, 1.7581163303210332, 1.7581163303210332]"
147_8,"['SDF(Switch Disconnectors)', 'Controller', 'RMU(Ring Main Unit)']","[2.6375955191904317, 1.8136249428242, 1.7794791888693984]"
148_51,"['Pump Starter and Controller', 'ACB(Air Circuit Breaker)', 'Solar Solutions']","[4.165685232306558, 2.532692070451106, 2.532692070451106]"
149_98,"['Controller', 'Pump Starter and Controller', 'RMU(Ring Main Unit)']","[3.1811388300841896, 3.1811388300841896, 2.3905694150420946]"
150_77,"['E-House', 'MCCB(Moduled Case Circuit Breaker)', 'Modular Switches']","[3.2262930848127063, 3.2262930848127063, 2.4357236697706113]"
151_13,"['Solar Solutions', 'Controller', 'PSS(Compact Sub-Stations)']","[3.5498598491509408, 3.5498598491509408, 2.6928090415820627]"
152_23,"['Starter', 'Solar Solutions', 'E-House']","[2.658116330321033, 2.658116330321033, 2.616232660642066]"
153_7,"['Starter', 'MCCB(Moduled Case Circuit Breaker)', 'ACB(Air Circuit Breaker)']","[2.6443972299948237, 2.563731384950789, 1.7709743545010679]"
154_98,"['VCB(Vacuum Circuit Breaker)', 'ACB(Air Circuit Breaker)', 'BBT(Busbar Trunking)']","[3.179106580907395, 2.4075898310969355, 2.3626099999796693]"
155_3,"['SDF(Switch Disconnectors)', 'Starter', 'ACB(Air Circuit Breaker)']","[3.774506972053015, 1.8888888888888888, 1.8888888888888888]"
156_25,"['Solar Solutions', 'RMU(Ring Main Unit)', 'Controller']","[4.445562999626382, 3.579537595841944, 2.7462042625086105]"
157_87,"['E-House', 'BBT(Busbar Trunking)', 'Solar Solutions']","[2.267786838055363, 2.267786838055363, 2.267786838055363]"
158_22,"['AIS(Air Insulated Switchgear)', 'Starter', 'ACB(Air Circuit Breaker)']","[2.5580251839037933, 2.5034403442173714, 2.5034403442173714]"
159_80,"['SDF(Switch Disconnectors)', 'Controller', 'MCCB(Moduled Case Circuit Breaker)']","[4.285288080846401, 3.460330169462096, 2.5249158227686106]"
160_81,"['SDF(Switch Disconnectors)', 'AIS(Air Insulated Switchgear)', 'Pump Starter and Controller']","[2.7181589765574907, 1.8136249428242, 1.8136249428242]"
161_98,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[3.5485837703548633, 2.6596948814659744, 2.6596948814659744]"
162_53,"['E-House', 'PSS(Compact Sub-Stations)', 'AIS(Air Insulated Switchgear)']","[3.3323518989732244, 3.2736152348813743, 3.2736152348813743]"
163_3,"['VCU(Vacuum Contactor Units)', 'RMU(Ring Main Unit)', 'Pump Starter and Controller']","[3.2875797530151667, 2.544299446350167, 2.485796027277894]"
164_12,"['Controller', 'E-House', 'Starter']","[3.9986830812661447, 2.4075898310969355, 2.4075898310969355]"
165_58,"['SDF(Switch Disconnectors)', 'VCB(Vacuum Circuit Breaker)', 'Modular Switches']","[4.106948568214708, 2.457118653953648, 1.5910932501692094]"
166_93,"['VCU(Vacuum Contactor Units)', 'AIS(Air Insulated Switchgear)', 'Starter']","[4.052289157677609, 3.2505054319403355, 3.2505054319403355]"
167_27,"['Controller', 'VCU(Vacuum Contactor Units)', 'Starter']","[4.382145061948927, 3.505087042641898, 1.7525435213209493]"
168_3,"['Solar Solutions', 'Modular Switches', 'RMU(Ring Main Unit)']","[3.1010914918256027, 2.459593275283494, 2.355735499325673]"
169_88,"['BBT(Busbar Trunking)', 'Starter', 'VCB(Vacuum Circuit Breaker)']","[3.535533905932738, 2.8284271247461907, 2.121320343559643]"
170_15,"['BBT(Busbar Trunking)', 'AIS(Air Insulated Switchgear)', 'Solar Solutions']","[3.499999999999999, 2.6160254037844384, 1.7499999999999996]"
171_11,"['E-House', 'BBT(Busbar Trunking)', 'VCB(Vacuum Circuit Breaker)']","[3.405563642229189, 3.405563642229189, 2.552760776806747]"
172_55,"['SDF(Switch Disconnectors)', 'Modular Switches', 'VCU(Vacuum Contactor Units)']","[2.76037225807779, 2.76037225807779, 1.9354143466934848]"
173_90,"['VCU(Vacuum Contactor Units)', 'ACB(Air Circuit Breaker)', 'MCCB(Moduled Case Circuit Breaker)']","[3.477802865422441, 3.4499579113843053, 3.4277607768067466]"
174_99,"['PSS(Compact Sub-Stations)', 'RMU(Ring Main Unit)', 'SDF(Switch Disconnectors)']","[2.600494233910469, 2.535350957186853, 2.520360855959545]"
175_75,"['MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)', 'Pump Starter and Controller']","[2.667184397787615, 1.7749223135117802, 0.9045340337332909]"
176_53,"['MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)', 'VCB(Vacuum Circuit Breaker)']","[3.410808731802725, 3.2723104868212634, 2.544783328018286]"
177_84,"['SDF(Switch Disconnectors)', 'Starter', 'E-House']","[3.61814906789244, 2.7362319642042428, 2.7292601790035507]"
