Partner_id,Product_id,Geography,Stockist_Type,Scheme_Type,Sales_Value_Last_Period,Sales_Quantity_Last_Period,MRP,Growth_Percentage,Discount_Applied,Bulk_Purchase_Tendency,New_Stockist,Feedback_Score
P1001,AIS,West,Wholesaler,Loyalty Points,18369.8,114,8701.52,37.18,8.99,Medium,False,3.49
P1001,PSS,East,Distributor,Volume Discount,397609.08,427,38474.57,20.91,0.46,Medium,False,1.51
P1003,Starter,South,Wholesaler,Volume Discount,181355.11,418,24392.82,42.38,14.49,Medium,False,3.11
P1003,Solar Solutions,West,Wholesaler,Loyalty Points,29484.19,376,11204.1,-4.56,16.17,High,True,2.44
P1001,Solar Solutions,West,Wholesaler,Seasonal Offer,446585.79,480,38236.25,-3.47,16.23,Medium,False,3.26
P1001,MCCB,West,Distributor,Volume Discount,264393.61,443,5959.77,38.62,3.45,Medium,False,1.85
P1003,E-House,West,Retailer,Volume Discount,117997.39,279,9730.94,19.87,5.48,Low,True,4.81
P1003,BBT,East,Retailer,Cashback,424958.38,281,43639.06,7.36,6.89,Low,True,1.46
P1003,Solar Solutions,South,Wholesaler,Cashback,330919.91,155,5528.71,42.35,5.78,High,False,1.43
P1001,Modular Switches,South,Wholesaler,Cashback,431037.07,94,46369.47,-0.57,9.35,High,True,4.33
P1002,VCU,West,Wholesaler,Seasonal Offer,445016.91,158,46758.13,32.8,17.37,Low,True,4.64
P1002,Modular Switches,South,Wholesaler,Volume Discount,496267.2,267,38097.33,14.28,14.0,High,True,3.01
P1003,Modular Switches,West,Distributor,Volume Discount,396108.44,233,39900.45,49.16,16.51,High,True,4.86
P1001,Modular Switches,South,Distributor,Loyalty Points,62984.26,462,16805.32,-8.64,2.16,Medium,False,4.85
P1001,AIS,South,Retailer,Seasonal Offer,256509.33,42,24658.55,-0.6,2.32,Medium,False,3.67
P1003,Starter,North,Wholesaler,Seasonal Offer,390736.9,279,7804.22,6.99,14.31,Low,True,2.4
P1002,AIS,East,Retailer,Cashback,147614.83,68,6325.4,39.32,18.39,Medium,True,4.17
P1001,MCCB,West,Wholesaler,Loyalty Points,124520.89,422,16521.65,-3.72,4.82,Low,True,2.37
P1001,BBT,East,Distributor,Loyalty Points,290113.04,269,45280.25,43.1,7.17,High,False,4.85
P1003,Pump Starter and Controller,West,Retailer,Cashback,27829.63,301,25218.28,38.88,11.71,High,False,2.08
P1003,MCCB,North,Wholesaler,Volume Discount,414367.37,353,24015.77,24.63,13.32,Medium,False,4.84
P1003,Solar Solutions,West,Retailer,Volume Discount,105741.96,126,40585.34,19.39,3.66,Low,True,2.06
P1001,ACB,East,Wholesaler,Seasonal Offer,260317.24,50,34782.42,45.05,19.7,High,False,2.01
P1003,Starter,South,Distributor,Seasonal Offer,287139.55,374,27218.28,34.13,6.3,Medium,False,3.53
P1001,Solar Solutions,West,Retailer,Volume Discount,471177.9,463,1153.29,13.46,10.83,High,True,4.83
P1003,RMU,West,Retailer,Volume Discount,139865.9,21,15680.45,1.7,14.8,High,True,3.56
P1003,Starter,South,Distributor,Seasonal Offer,371044.22,186,21679.78,-6.57,18.83,Low,True,3.9
P1002,Modular Switches,North,Retailer,Loyalty Points,26310.93,250,48350.9,16.78,19.0,High,True,4.98
P1001,VCB,North,Distributor,Cashback,454305.44,362,582.36,34.29,1.45,High,False,1.64
P1002,MCCB,North,Wholesaler,Seasonal Offer,386282.32,289,43957.16,42.57,1.63,Medium,False,3.4
P1001,Solar Solutions,South,Retailer,Seasonal Offer,47113.17,413,13322.61,24.6,15.92,Low,False,3.89
P1001,BBT,West,Retailer,Seasonal Offer,322152.16,15,38017.13,23.62,1.34,High,True,2.92
P1003,VCB,East,Wholesaler,Seasonal Offer,89909.7,492,49976.81,35.82,9.73,Medium,True,3.26
P1002,VCB,East,Distributor,Loyalty Points,438232.75,281,17794.36,39.83,2.38,High,True,1.71
P1003,SDF,East,Retailer,Volume Discount,283140.15,498,22073.02,27.4,5.17,High,False,4.68
P1002,RMU,East,Retailer,Cashback,228590.27,231,47541.64,11.76,19.18,Medium,True,3.96
P1002,MCCB,South,Wholesaler,Cashback,323225.64,268,18972.63,12.85,0.36,Low,False,2.77
P1003,MCCB,North,Wholesaler,Cashback,419136.8,430,31411.56,47.84,8.59,High,True,3.02
P1001,PSS,North,Wholesaler,Cashback,297998.58,275,42112.82,33.09,12.4,Low,True,2.46
P1001,ACB,South,Retailer,Cashback,168242.28,286,7634.39,20.39,4.11,Medium,True,4.3
P1001,Pump Starter and Controller,North,Retailer,Seasonal Offer,261152.84,395,43000.52,35.85,0.98,Medium,False,2.69
P1002,Modular Switches,South,Wholesaler,Volume Discount,344123.96,161,29600.4,12.13,6.47,Low,True,4.01
P1003,Starter,East,Distributor,Loyalty Points,447633.95,365,35304.44,26.83,7.07,Medium,False,4.43
P1003,ACB,North,Distributor,Loyalty Points,66861.23,94,36404.73,3.53,19.33,Medium,False,1.91
P1002,Solar Solutions,South,Wholesaler,Seasonal Offer,262115.53,320,6412.78,39.53,2.52,Medium,False,2.18
P1003,PSS,East,Distributor,Volume Discount,295169.85,339,43696.03,39.37,15.84,High,False,1.02
P1003,BBT,West,Distributor,Loyalty Points,385260.92,325,19255.66,49.27,12.2,High,False,3.31
P1003,RMU,West,Distributor,Volume Discount,422011.74,329,7659.47,42.61,13.43,High,True,2.41
P1001,VCB,South,Retailer,Volume Discount,213882.96,246,2146.96,12.31,0.81,Medium,False,2.72
P1002,BBT,East,Retailer,Volume Discount,485246.27,396,37538.96,35.51,5.46,High,True,1.97
P1003,Pump Starter and Controller,South,Distributor,Loyalty Points,104868.3,267,27922.63,-5.5,10.44,Medium,False,2.76
P1001,MCCB,West,Wholesaler,Loyalty Points,21252.51,18,33955.42,30.33,14.29,Low,False,2.65
P1001,SDF,West,Retailer,Loyalty Points,344494.38,304,21538.6,5.54,2.22,Low,False,4.47
P1001,ACB,North,Retailer,Seasonal Offer,216662.58,438,38387.75,-4.73,16.93,Medium,True,3.71
P1003,Solar Solutions,South,Wholesaler,Volume Discount,106276.73,249,29711.38,8.93,0.7,Medium,False,4.8
P1001,Pump Starter and Controller,West,Wholesaler,Seasonal Offer,396501.08,242,24133.7,-0.08,18.34,High,False,1.85
P1003,PSS,East,Wholesaler,Volume Discount,386475.54,471,16229.67,46.06,5.4,Low,True,2.86
P1002,AIS,East,Retailer,Seasonal Offer,392278.12,416,42818.91,-3.42,4.82,Medium,False,4.06
P1003,Modular Switches,North,Distributor,Seasonal Offer,271848.74,92,43254.66,7.84,9.47,High,True,3.07
P1001,MCCB,North,Retailer,Cashback,76217.35,78,29081.75,-9.4,16.12,Medium,False,3.85
P1002,Starter,South,Wholesaler,Seasonal Offer,457628.49,62,26313.7,12.21,1.44,Low,True,4.46
P1002,RMU,North,Wholesaler,Loyalty Points,118465.36,352,37563.67,23.13,10.3,Medium,False,4.31
P1003,SDF,South,Retailer,Cashback,85480.89,297,6854.3,26.17,17.54,Low,False,3.88
P1003,Pump Starter and Controller,East,Retailer,Cashback,259274.67,185,15216.12,11.78,11.26,Low,True,3.22
P1002,AIS,South,Wholesaler,Seasonal Offer,377911.99,56,30076.96,16.99,15.81,High,False,4.19
P1002,VCB,West,Retailer,Cashback,256402.2,287,39706.6,32.53,9.49,High,True,4.81
P1001,AIS,South,Distributor,Loyalty Points,390927.57,299,48062.99,17.02,4.85,Low,True,2.94
P1002,SDF,South,Distributor,Loyalty Points,145005.39,365,30478.3,15.02,1.92,Low,False,4.25
P1001,PSS,South,Distributor,Seasonal Offer,384085.72,137,12699.65,21.73,4.85,High,False,1.12
P1001,Controller,West,Distributor,Volume Discount,364215.37,280,3516.1,27.96,2.24,High,False,3.8
P1003,AIS,East,Distributor,Cashback,486845.64,394,10178.0,45.95,19.6,Medium,False,2.78
P1003,VCB,North,Distributor,Cashback,245804.46,135,7192.04,4.07,19.63,High,True,1.73
P1002,Modular Switches,North,Retailer,Seasonal Offer,106445.71,384,34363.89,24.94,2.05,Low,False,4.74
P1001,Pump Starter and Controller,West,Distributor,Loyalty Points,80723.91,182,21509.7,29.62,19.3,Medium,True,1.12
P1003,ACB,West,Retailer,Seasonal Offer,217000.48,296,19346.79,11.85,15.67,High,False,1.49
P1001,Starter,East,Retailer,Cashback,263827.9,64,13034.55,-2.31,11.56,Medium,True,3.07
P1003,Solar Solutions,South,Distributor,Loyalty Points,55762.19,156,44492.71,-4.98,10.21,Medium,True,1.98
P1001,Modular Switches,West,Wholesaler,Loyalty Points,330700.84,279,7056.25,35.77,16.66,High,True,2.38
P1001,VCB,East,Distributor,Volume Discount,343587.01,25,24643.51,15.31,5.21,Low,False,1.48
P1003,PSS,North,Wholesaler,Volume Discount,272125.13,128,1990.12,23.0,4.53,Low,False,1.23
P1001,RMU,North,Wholesaler,Seasonal Offer,172782.26,280,45639.94,-4.38,3.11,Medium,True,1.71
P1001,AIS,North,Retailer,Cashback,66753.28,330,47151.33,-7.78,5.75,Medium,True,2.53
P1002,Modular Switches,East,Wholesaler,Seasonal Offer,17258.0,463,34249.6,17.55,18.36,Low,True,2.39
P1003,Modular Switches,East,Retailer,Loyalty Points,289478.43,471,25358.34,46.62,14.0,Medium,True,1.87
P1003,Modular Switches,North,Distributor,Loyalty Points,367253.8,129,8336.7,27.12,3.85,High,False,3.88
P1001,VCB,East,Retailer,Volume Discount,418844.92,287,5506.05,1.41,14.71,Low,True,2.08
P1002,SDF,West,Distributor,Loyalty Points,280876.78,86,24170.54,45.5,9.92,High,False,3.05
P1002,Pump Starter and Controller,North,Wholesaler,Loyalty Points,247051.0,401,14430.07,37.31,6.35,High,False,1.97
P1001,Modular Switches,West,Distributor,Volume Discount,79258.26,17,11899.42,40.1,0.36,Medium,False,1.18
P1001,PSS,West,Wholesaler,Loyalty Points,123845.15,11,11788.26,44.14,15.48,Low,False,1.31
P1001,ACB,West,Wholesaler,Cashback,433658.69,470,42484.47,6.61,13.57,High,True,3.55
P1003,Controller,South,Retailer,Loyalty Points,158359.79,161,34152.27,5.25,15.36,Medium,False,2.68
P1003,Starter,East,Wholesaler,Cashback,49170.92,224,14747.71,8.11,11.01,High,True,4.36
P1003,Pump Starter and Controller,South,Wholesaler,Cashback,412048.43,392,1897.84,0.74,18.76,Medium,True,3.61
P1002,MCCB,West,Wholesaler,Volume Discount,495498.25,423,41052.41,-4.85,19.31,Low,False,1.75
P1003,Controller,East,Wholesaler,Seasonal Offer,459093.4,364,18558.32,-5.72,5.27,Medium,False,4.8
P1002,BBT,North,Wholesaler,Seasonal Offer,70206.77,311,38766.88,42.56,15.65,Medium,False,1.95
P1003,Pump Starter and Controller,West,Wholesaler,Seasonal Offer,80057.57,100,21636.39,8.25,0.61,Low,True,4.51
P1002,RMU,South,Retailer,Seasonal Offer,162827.98,64,28248.41,4.84,18.19,Medium,True,3.5
P1002,E-House,East,Distributor,Seasonal Offer,282019.64,42,33624.33,16.12,7.7,Medium,True,3.58
P1002,E-House,North,Distributor,Cashback,462560.81,417,1245.73,31.89,0.97,Low,True,4.82
P1001,ACB,North,Distributor,Volume Discount,51935.59,239,17988.24,17.06,3.35,Low,True,2.74
P1002,PSS,North,Wholesaler,Loyalty Points,275587.06,169,16559.76,26.57,11.68,Low,True,3.14
P1002,Pump Starter and Controller,South,Wholesaler,Seasonal Offer,246878.37,219,27221.81,-2.19,8.74,Medium,False,3.62
P1001,BBT,East,Retailer,Loyalty Points,262159.77,296,9279.35,-3.94,15.41,Low,False,4.6
P1001,MCCB,North,Wholesaler,Cashback,251108.54,165,42263.78,0.03,18.46,Medium,False,3.37
P1002,BBT,South,Wholesaler,Seasonal Offer,104731.22,437,24118.62,15.74,5.79,Low,False,2.58
P1001,Modular Switches,West,Distributor,Loyalty Points,73967.7,199,4278.38,18.69,13.93,Medium,True,2.15
P1003,ACB,North,Wholesaler,Loyalty Points,69534.44,186,21205.03,17.47,2.77,Medium,True,1.18
P1003,RMU,North,Retailer,Seasonal Offer,141087.34,361,49263.44,-6.74,17.34,Low,True,3.11
P1002,Starter,East,Distributor,Loyalty Points,303724.3,151,39527.07,34.02,11.7,High,False,1.64
P1001,Controller,South,Distributor,Seasonal Offer,62959.4,465,13980.07,30.51,14.13,Low,False,2.27
P1001,PSS,East,Retailer,Loyalty Points,261036.22,381,35372.03,-0.73,17.58,Medium,True,2.94
P1001,Pump Starter and Controller,East,Retailer,Seasonal Offer,227877.25,43,44889.9,13.6,2.24,Medium,True,1.53
P1003,Modular Switches,South,Wholesaler,Volume Discount,89713.36,375,34210.22,22.67,16.54,Low,False,4.65
P1003,Pump Starter and Controller,West,Wholesaler,Volume Discount,232994.55,286,11341.05,47.71,7.98,Low,True,2.7
P1003,BBT,East,Distributor,Seasonal Offer,326687.55,214,49224.7,17.74,2.63,High,True,4.92
P1002,Pump Starter and Controller,West,Wholesaler,Loyalty Points,333059.14,99,36139.21,5.05,1.05,Low,False,2.92
P1003,E-House,South,Distributor,Loyalty Points,135884.66,46,1454.15,25.98,19.82,High,False,1.42
P1002,BBT,West,Retailer,Cashback,450173.4,96,10467.61,20.71,17.59,Low,False,3.06
P1001,E-House,South,Wholesaler,Volume Discount,492237.71,80,42908.54,10.3,16.08,High,False,4.53
P1002,Solar Solutions,East,Wholesaler,Cashback,495386.05,228,22243.85,35.85,19.55,Medium,False,4.32
P1002,Controller,North,Distributor,Seasonal Offer,142021.83,326,48099.16,35.14,18.98,High,False,3.49
P1001,SDF,North,Retailer,Volume Discount,439740.78,300,49663.97,19.55,1.38,High,False,4.02
P1001,E-House,South,Retailer,Seasonal Offer,494342.21,166,27997.03,26.93,17.8,High,False,4.25
P1002,ACB,North,Wholesaler,Volume Discount,329643.21,102,46572.77,20.68,14.28,Medium,True,3.54
P1002,VCU,North,Distributor,Loyalty Points,228019.48,133,28702.7,47.28,3.26,Medium,False,2.58
P1001,VCU,West,Retailer,Volume Discount,112282.04,322,49038.45,6.46,1.78,High,True,2.03
P1002,E-House,West,Retailer,Cashback,486691.49,181,16786.1,13.64,16.87,High,True,3.73
P1003,Solar Solutions,West,Wholesaler,Cashback,378362.4,30,2519.18,27.84,12.32,High,False,4.13
P1002,AIS,South,Wholesaler,Loyalty Points,492991.8,125,38854.98,-9.47,8.82,Medium,True,3.68
P1001,ACB,East,Wholesaler,Cashback,352688.57,384,13304.19,34.77,12.99,Low,True,2.91
P1001,ACB,South,Wholesaler,Loyalty Points,409590.05,103,9657.03,15.6,3.91,Medium,False,4.08
P1002,VCU,North,Distributor,Seasonal Offer,142271.21,55,7186.39,34.8,3.08,Low,True,4.63
P1001,ACB,South,Retailer,Cashback,273904.94,21,29914.37,31.9,11.33,High,False,1.45
P1003,Starter,East,Wholesaler,Cashback,226563.01,130,27647.42,6.71,3.38,Medium,False,2.33
P1002,Modular Switches,West,Wholesaler,Cashback,412791.88,318,38193.54,3.82,16.54,High,False,3.15
P1002,RMU,North,Retailer,Loyalty Points,486468.74,421,35344.5,7.3,7.8,Low,True,3.83
P1002,Solar Solutions,North,Wholesaler,Loyalty Points,274408.46,300,26217.91,7.99,1.08,Medium,False,1.51
P1002,MCCB,East,Retailer,Cashback,383155.2,205,7176.02,6.45,5.91,Medium,False,2.15
P1001,AIS,West,Distributor,Seasonal Offer,489642.29,158,46323.35,11.28,10.59,Medium,False,3.51
P1001,E-House,South,Wholesaler,Seasonal Offer,71850.29,248,12613.22,27.09,9.31,Low,True,1.75
P1001,Starter,South,Retailer,Loyalty Points,161867.32,483,12263.2,-2.08,19.14,Medium,False,4.72
P1003,VCU,South,Distributor,Loyalty Points,87830.14,353,44782.86,28.64,8.42,Medium,False,3.66
P1002,E-House,West,Distributor,Loyalty Points,66436.62,209,42262.85,4.19,17.16,High,True,1.22
P1002,RMU,South,Retailer,Cashback,58079.72,363,38009.63,9.84,10.15,High,False,3.77
P1001,SDF,South,Retailer,Seasonal Offer,321725.55,191,31360.18,33.77,8.94,Low,False,2.98
P1002,ACB,North,Retailer,Volume Discount,356565.16,152,7655.87,6.29,17.45,Medium,False,4.01
P1001,PSS,East,Distributor,Seasonal Offer,294319.09,22,7066.42,6.99,7.54,High,False,2.31
P1001,VCB,West,Retailer,Cashback,217217.87,485,12153.42,21.92,5.58,High,False,4.86
P1003,SDF,North,Retailer,Loyalty Points,461298.35,53,22477.9,8.59,3.07,High,True,2.61
P1003,PSS,East,Distributor,Loyalty Points,310793.11,450,18443.77,28.47,16.13,High,True,2.55
P1001,SDF,North,Retailer,Loyalty Points,75573.87,335,16160.47,29.25,9.12,High,False,1.34
P1001,MCCB,North,Retailer,Seasonal Offer,123307.37,44,36941.2,30.83,1.91,Medium,True,1.55
P1002,VCB,East,Wholesaler,Cashback,337328.56,301,26989.2,37.57,3.9,High,False,4.44
P1003,AIS,West,Distributor,Volume Discount,236802.09,17,39920.75,6.46,14.39,Low,False,3.2
P1002,Pump Starter and Controller,West,Wholesaler,Seasonal Offer,342467.43,384,31005.43,45.31,4.1,Medium,False,3.03
P1002,Modular Switches,North,Retailer,Seasonal Offer,192092.65,228,7618.37,22.5,8.43,Low,True,2.75
P1002,VCB,West,Distributor,Cashback,351424.3,233,37158.35,36.5,4.73,Medium,False,1.46
P1001,RMU,North,Retailer,Volume Discount,328805.26,268,41670.96,32.23,5.03,Medium,False,1.9
P1003,RMU,North,Wholesaler,Loyalty Points,389276.94,439,45230.65,-8.43,9.57,Medium,False,3.9
P1002,Solar Solutions,West,Distributor,Volume Discount,385725.82,44,22957.48,6.31,4.79,High,True,1.08
P1003,Controller,West,Retailer,Seasonal Offer,165322.13,65,22426.18,33.51,7.44,Medium,True,2.97
P1002,Modular Switches,East,Retailer,Volume Discount,354788.9,210,16019.05,6.03,6.44,High,True,2.52
P1002,E-House,East,Retailer,Cashback,288350.36,402,17138.24,39.34,14.79,High,False,3.32
P1002,Pump Starter and Controller,East,Retailer,Loyalty Points,466589.59,342,45953.92,-8.28,7.34,Low,False,4.73
P1002,RMU,West,Distributor,Seasonal Offer,62966.54,305,623.0,39.44,4.27,Low,False,3.69
P1001,RMU,West,Wholesaler,Seasonal Offer,19138.05,331,21158.6,15.7,4.21,High,True,2.53
P1001,RMU,North,Distributor,Volume Discount,475016.71,91,22844.92,33.39,18.1,High,True,2.94
P1001,BBT,West,Retailer,Cashback,362152.5,344,9649.25,-7.22,9.39,Medium,False,4.95
P1003,E-House,East,Distributor,Seasonal Offer,152433.49,230,9009.59,48.5,11.57,Low,True,1.95
P1003,MCCB,East,Distributor,Seasonal Offer,116846.82,12,16919.92,29.16,12.71,Low,True,3.49
P1002,VCB,West,Wholesaler,Loyalty Points,192934.89,497,29439.53,11.07,0.65,High,False,2.56
P1001,Starter,West,Wholesaler,Volume Discount,300388.63,421,4707.8,-4.62,10.9,Medium,False,4.46
P1002,Modular Switches,West,Wholesaler,Seasonal Offer,211635.48,114,15190.36,33.87,1.55,Low,True,2.54
P1001,RMU,West,Wholesaler,Seasonal Offer,39198.6,58,16045.88,12.68,2.81,High,False,1.72
P1002,Pump Starter and Controller,South,Retailer,Loyalty Points,390008.79,156,38863.7,15.13,4.65,Low,False,2.85
P1001,AIS,West,Retailer,Loyalty Points,34397.38,149,20879.33,23.96,15.05,Low,True,3.48
P1002,VCB,West,Retailer,Cashback,23180.58,35,11687.64,39.22,17.62,High,True,1.41
P1003,MCCB,South,Distributor,Seasonal Offer,239410.44,303,43090.68,31.31,16.03,Medium,False,3.13
P1001,PSS,East,Distributor,Loyalty Points,201435.66,122,31862.95,37.52,8.72,High,False,1.48
P1001,Modular Switches,East,Retailer,Cashback,363335.48,403,10166.33,-1.59,14.14,High,True,1.97
P1001,MCCB,West,Retailer,Seasonal Offer,383174.49,135,19191.14,5.74,12.96,High,True,4.06
P1002,SDF,South,Retailer,Volume Discount,206768.49,272,38932.3,39.05,5.98,Medium,False,4.73
P1001,MCCB,East,Wholesaler,Volume Discount,435154.99,105,18383.33,13.52,10.36,Low,True,1.38
P1003,VCB,South,Wholesaler,Volume Discount,231758.63,448,9010.31,32.49,4.04,High,False,4.6
P1001,Modular Switches,West,Distributor,Cashback,450171.92,255,13536.55,43.02,18.88,Medium,False,4.53
P1003,Modular Switches,South,Distributor,Seasonal Offer,143826.84,10,6540.17,46.32,4.41,Medium,False,2.91
P1002,Pump Starter and Controller,East,Distributor,Seasonal Offer,415336.39,447,41695.23,13.8,16.53,Medium,False,1.98
P1003,AIS,East,Retailer,Seasonal Offer,193826.77,277,36608.08,6.72,0.74,Medium,False,2.66
P1002,Controller,East,Distributor,Loyalty Points,480320.32,60,47821.19,23.63,0.84,High,False,2.76
P1001,Starter,North,Wholesaler,Seasonal Offer,487997.67,329,47744.07,26.83,8.24,Low,False,4.33
P1003,AIS,North,Wholesaler,Seasonal Offer,293737.2,441,41291.4,5.8,18.7,Medium,True,3.51
P1002,BBT,West,Retailer,Cashback,326074.67,236,18952.8,8.08,12.93,High,True,4.78
P1002,Controller,West,Retailer,Cashback,457621.75,55,26953.57,1.06,8.42,Low,False,2.41
P1001,AIS,South,Wholesaler,Volume Discount,219636.12,270,18771.77,39.03,14.76,Medium,False,4.7
P1002,MCCB,East,Wholesaler,Volume Discount,471473.95,485,26182.96,40.47,10.18,High,False,1.89
P1001,BBT,South,Distributor,Volume Discount,103618.31,258,18727.02,37.39,7.12,Medium,False,1.84
P1001,Controller,South,Retailer,Cashback,80790.4,484,38586.56,-8.96,2.67,Low,False,2.33
P1001,AIS,South,Wholesaler,Loyalty Points,482261.16,207,30258.48,16.94,10.25,High,True,4.65
P1002,Solar Solutions,East,Distributor,Loyalty Points,18976.11,354,44571.19,38.0,4.5,Medium,False,4.9
P1002,VCU,South,Distributor,Seasonal Offer,362381.81,465,22948.63,15.39,7.8,High,True,1.95
P1001,Starter,East,Distributor,Volume Discount,161514.97,261,48035.32,5.08,10.59,Low,False,3.62
P1003,Solar Solutions,North,Retailer,Volume Discount,479958.71,379,20264.98,1.53,0.82,Low,False,4.24
P1003,E-House,South,Retailer,Seasonal Offer,320994.82,471,48050.44,26.03,6.59,High,False,2.29
P1001,SDF,West,Retailer,Loyalty Points,123351.63,187,14016.88,5.63,14.61,Medium,True,2.37
P1003,VCU,East,Distributor,Cashback,347179.43,88,27282.61,12.27,2.39,Low,False,3.03
P1002,ACB,South,Distributor,Loyalty Points,51834.25,387,36229.63,5.36,3.54,Low,True,2.59
P1002,PSS,North,Retailer,Volume Discount,163902.1,480,43538.9,-0.85,8.27,Medium,False,4.31
P1001,MCCB,North,Wholesaler,Volume Discount,82913.1,55,15472.92,31.58,15.26,Low,True,4.08
P1003,BBT,North,Retailer,Seasonal Offer,87792.93,171,38702.81,40.56,3.43,Low,True,3.15
P1002,Pump Starter and Controller,South,Wholesaler,Loyalty Points,282335.33,359,20717.28,4.55,11.86,Low,True,4.5
P1003,AIS,North,Retailer,Seasonal Offer,409871.64,24,19887.17,18.25,18.07,Low,True,3.68
P1002,E-House,West,Wholesaler,Volume Discount,86258.32,336,29183.17,-7.63,14.99,Low,False,2.8
P1003,Starter,South,Retailer,Loyalty Points,369543.86,55,17217.81,10.92,8.19,Medium,True,2.88
P1001,Controller,North,Distributor,Cashback,493372.52,387,40167.5,-6.3,18.23,Low,False,3.67
P1001,Controller,South,Retailer,Loyalty Points,221029.27,407,21712.64,13.29,6.77,Medium,True,3.22
P1002,Pump Starter and Controller,North,Distributor,Cashback,238187.23,119,37350.09,8.68,12.79,High,True,3.18
P1003,MCCB,North,Retailer,Seasonal Offer,161793.11,70,48643.18,12.06,15.07,Low,False,4.69
P1003,VCU,South,Retailer,Loyalty Points,25698.91,404,31384.96,19.06,13.37,Medium,False,4.81
P1002,Controller,North,Wholesaler,Loyalty Points,428380.0,51,32592.25,34.18,10.38,High,True,2.53
P1001,Starter,North,Retailer,Loyalty Points,160111.81,475,12286.78,-2.27,12.86,Low,False,2.79
P1002,Solar Solutions,West,Distributor,Cashback,246486.56,103,18730.66,29.43,14.19,High,True,2.59
P1001,Pump Starter and Controller,East,Retailer,Loyalty Points,150152.49,339,42820.83,30.52,17.69,Medium,False,3.11
P1002,Solar Solutions,West,Retailer,Loyalty Points,142987.73,404,42416.87,-0.55,12.89,Low,False,4.22
P1003,ACB,North,Wholesaler,Volume Discount,497581.46,101,15418.92,49.87,19.41,Low,False,4.72
P1001,ACB,South,Retailer,Seasonal Offer,151813.77,115,27285.05,-0.09,3.46,Low,False,1.81
P1002,PSS,North,Retailer,Seasonal Offer,498126.32,68,37836.55,-1.35,1.92,Medium,False,1.18
P1001,AIS,South,Retailer,Cashback,209590.02,448,11197.9,21.58,11.15,High,True,3.92
P1002,VCU,North,Retailer,Volume Discount,388560.4,364,49418.99,-7.79,17.8,High,True,1.91
P1003,Pump Starter and Controller,East,Wholesaler,Seasonal Offer,454496.56,360,32736.25,3.78,16.95,High,False,1.36
P1002,ACB,South,Retailer,Cashback,197968.49,465,37683.2,30.86,19.42,Medium,True,4.95
P1001,Solar Solutions,East,Retailer,Loyalty Points,381551.16,450,33399.46,1.21,12.33,High,True,3.71
P1002,MCCB,West,Retailer,Volume Discount,294155.63,429,35686.66,38.56,7.84,Low,False,3.33
P1003,SDF,West,Wholesaler,Loyalty Points,111926.93,256,24154.21,38.87,18.01,High,True,2.88
P1001,Solar Solutions,North,Distributor,Volume Discount,71056.58,122,8611.22,30.22,13.52,High,False,1.6
P1001,Solar Solutions,South,Distributor,Cashback,429425.67,237,45833.9,46.87,16.2,Medium,False,2.89
P1003,E-House,East,Retailer,Loyalty Points,177893.72,322,26736.28,0.97,12.66,Low,False,3.51
