Partner_id,Recommended_Products,Similarity_Scores
281_14,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
884_50,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
762_11,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
320_38,"['ACB(Air Circuit Breaker)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
550_81,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
175_72,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
372_71,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
528_92,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
211_33,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
236_15,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'VCB(Vacuum Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
102_3,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
987_18,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
903_34,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
948_78,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
347_19,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
140_14,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
622_53,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
500_95,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
371_60,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
199_80,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
688_27,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
585_78,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
902_16,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3739837398373984), np.float64(0.36935483870967745), np.float64(0.3672787979966611)]"
060_70,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
329_14,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
097_20,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
313_99,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
975_11,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
300_35,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
278_48,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
925_68,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
602_18,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
440_14,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
838_90,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3739837398373984), np.float64(0.36935483870967745), np.float64(0.3672787979966611)]"
571_7,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
880_22,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
262_38,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
579_51,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3739837398373984), np.float64(0.362012987012987), np.float64(0.36046511627906974)]"
024_62,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
031_83,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
618_55,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
011_30,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
222_54,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
821_88,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
297_66,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
055_15,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
543_80,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
210_86,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
605_84,"['AIS(Air Insulated Switchgear)', 'BBT(Busbar Trunking)', 'SDF(Switch Disconnectors)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
693_54,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
663_96,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
867_28,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
071_94,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
544_90,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
108_71,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
494_14,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
591_45,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
742_56,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
293_67,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
290_18,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
653_7,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
040_87,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
590_92,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
308_48,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
680_11,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
067_17,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
276_82,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
068_57,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
319_26,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
549_93,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
999_98,"['MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)', 'RMU(Ring Main Unit)']","[np.float64(0.3739837398373984), np.float64(0.36935483870967745), np.float64(0.3672787979966611)]"
715_54,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
754_4,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
328_76,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
383_6,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
452_39,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
523_70,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
219_93,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
788_87,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
437_85,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
765_25,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
089_2,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
064_21,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
827_24,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
717_9,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
352_56,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
937_18,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
257_58,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
636_45,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
645_77,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
555_26,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
960_28,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
169_6,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
918_98,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
529_96,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
824_93,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
986_3,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
817_73,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
087_38,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
433_63,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
185_28,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
979_64,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
535_8,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
295_73,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
893_88,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
426_71,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
714_17,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
261_88,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
238_53,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
560_49,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
584_5,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
446_27,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
